"Word","IPA","POS","Inflections","Definition","Example","Collocations","Context_Type"
"laconic","/ləˈkɑːnɪk/","adj.","laconically","言簡意賅的；簡潔的","His laconic reply of 'no' didn't leave much room for further discussion.","laconic reply; laconic prose","Social"
"insipid","/ɪnˈsɪpɪd/","adj.","insipidly","乏味的；淡而無味的","The movie's plot was so insipid that half the audience left before the end.","insipid conversation; insipid soup","Social"
"prosaic","/prəʊˈzeɪɪk/","adj.","prosaically","平凡的；乏味的；無想像力的","I expected a romantic proposal, but he kept it pretty prosaic, just asking over dinner.","prosaic life; prosaic observation","Social"
"alacrity","/əˈlækrəti/","n.","-","欣然；敏捷；樂意","She accepted the job offer with alacrity, signing the contract within minutes.","with alacrity; respond with alacrity","Workplace"
"pellucid","/pə/ˈluːsɪd/","adj.","pellucidly","清晰易懂的；清澈透明的","The professor's explanation of the complex theorem was surprisingly pellucid.","pellucid prose; pellucid water","Academic"
"corroborate","/kəˈrɑːbəreɪt/","v.","corroborated, corroborating","證實；支撐（說法或理論）","The witness's testimony corroborated the suspect's alibi, so they let him go.","corroborate a story; corroborate evidence","Legal"
"mercurial","/mɜːrˈkjʊriəl/","adj.","mercurially","反覆無常的；情緒多變的","His mercurial temperament makes it hard to predict how he'll react to bad news.","mercurial personality; mercurial nature","Social"
"belie","/bɪˈlaɪ/","v.","belied, belying","掩飾；與…不符","Her youthful appearance belies the fact that she's actually in her late forties.","belie one's age; belie expectations","Social"
"idiosyncrasy","/ˌɪdiəˈsɪŋkrəsi/","n.","idiosyncrasies","獨特的習性；癖好","One of his idiosyncrasies is that he always counts his steps while walking.","personal idiosyncrasy; peculiar idiosyncrasy","Social"
"didactic","/daɪˈdæktɪk/","adj.","didactically","說教式的；教導的","I like his books, but sometimes the tone gets a bit too didactic for my taste.","didactic tone; didactic approach","Academic"
"loquacious","/loʊˈkweɪʃəs/","adj.","loquaciously","多話的；健談的","He's so loquacious that a simple 'hello' can turn into a thirty-minute lecture.","loquacious neighbor; loquacious host","Social"
"placate","/ˈpleɪkeɪt/","v.","placated, placating","撫慰；平息（憤怒）","The airline tried to placate the stranded passengers by offering free meal vouchers.","placate someone; placate anger","Workplace"
"esoteric","/ˌesəˈterɪk/","adj.","esoterically","深奧難懂的；少數人懂的","The group's discussion revolved around esoteric philosophical concepts I couldn't follow.","esoteric knowledge; esoteric terminology","Academic"
"pithy","/ˈpɪθi/","adj.","pithier, pithiest","簡練有力的；言簡意賅的","She's known for her pithy comments that sum up the whole situation in just a few words.","pithy remark; pithy saying","Social"
"adulterate","/əˈdʌltəreɪt/","v.","adulterated, adulterating","摻雜；摻假","They were fined for trying to adulterate the milk with water to increase profits.","adulterate food; adulterate drugs","Workplace"
"vociferous","/voʊˈsɪfərəs/","adj.","vociferously","大聲喧嚷的；大聲抗議的","The proposal met with vociferous opposition from local residents at the meeting.","vociferous protest; vociferous critic","Social"
"misanthrope","/ˈmɪsənθroʊp/","n.","misanthropes","厭世者；討厭人類的人","He's not a misanthrope; he just prefers his own company over noisy parties.","confirmed misanthrope; cynical misanthrope","Social"
"lionize","/ˈlaɪənaɪz/","v.","lionized, lionizing","把…視為名人；崇拜","The press started to lionize him after he saved those kids from the burning building.","be lionized by; lionize a hero","Social"
"equivocate","/ɪˈkwɪvəkeɪt/","v.","equivocated, equivocating","含糊其詞；模稜兩可地說","Stop equivocating and tell us exactly where you stand on this new policy.","refuse to equivocate; equivocate on an issue","Workplace"
"malign","/məˈlaɪn/","v.","maligned, maligning","誹謗；中傷","The rumors were started by a rival who wanted to malign her reputation.","malign influence; malign someone's character","Social"
"docile","/ˈdɒsaɪl/","adj.","docility","溫順的；容易駕馭的","Although he looks tough, he's actually pretty docile and does whatever his wife tells him to.","docile temperament; docile animal","Social"
"chicanery","/ʃɪˈkeɪnəri/","n.","-","詭計；欺騙；狡辯","The politician used all sorts of legal chicanery to avoid paying his taxes.","political chicanery; legal chicanery","Workplace"
"providential","/ˌprɒvɪˈdenʃl/","adj.","providentially","幸運的；湊巧的；天佑的","It was truly providential that we'd left the building just minutes before the earthquake hit.","providential timing; providential escape","Social"
"diffidence","/ˈdɪfɪdəns/","n.","diffident, diffidently","缺乏自信；羞怯；膽怯","She overcame her natural diffidence and gave a brilliant speech to the entire school.","overcome diffidence; natural diffidence","Social"
"soporific","/ˌsɒpəˈrɪfɪk/","adj.","soporifically","令人昏昏欲睡的","I found the professor's lecture so soporific that I nearly fell asleep in the front row.","soporific effect; soporific lecture","Academic"
"recalcitrant","/rɪˈkælsɪtrənt/","adj.","recalcitrance","頑抗的；不聽話的；難以控制的","The school struggled to manage a few recalcitrant students who refused to follow any rules.","recalcitrant child; recalcitrant attitude","Social"
"pusillanimous","/ˌpjuːsɪˈlænɪməs/","adj.","pusillanimously","膽怯的；優柔寡斷的","He's too pusillanimous to stand up for what he believes in when things get tough.","pusillanimous behavior; pusillanimous leader","Social"
"pedant","/ˈpednt/","n.","pedantic, pedantically","賣弄學問者；書呆子；學究","I hate to be a pedant, but you've actually misspelled the word on the second line.","academic pedant; tiresome pedant","Social"
"vacillate","/ˈvæsəleɪt/","v.","vacillated, vacillating","猶豫；搖擺不定","I'm still vacillating between the two job offers; they both have their pros and cons.","vacillate between; vacillate on an issue","Workplace"
"inimical","/ɪˈnɪmɪkl/","adj.","inimically","有害的；敵意的；不利的","The new regulations are seen as inimical to small businesses trying to grow.","inimical to progress; inimical conditions","Academic"
"antidote","/ˈæntidəʊt/","n.","antidotes","解毒藥；對抗手段","Scientists are racing to find an effective antidote for this specific neurotoxin.","antidote for poison; universal antidote","Academic"
"gerontocracy","/ˌdʒerənˈtɒkrəsi/","n.","gerontocracies","老人政治","In some traditional societies, a gerontocracy is viewed as a way to preserve wisdom and stability.","rule of gerontocracy; political gerontocracy","Academic"
"braggart","/ˈbræɡərt/","n.","braggarts","吹牛者；自誇的人","He's such a braggart that nobody really believes his stories about meeting celebrities anymore.","insufferable braggart; loudmouthed braggart","Social"
"amalgamate","/əˈmæɡəmeɪt/","v.","amalgamated, amalgamating","合併；聯合","The two technology giants decided to amalgamate to better compete in the global market.","amalgamate companies; amalgamate data","Workplace"
"abscond","/əbˈskɒnd/","v.","absconded, absconding","潛逃；偷偷溜走","The accountant absconded with millions of dollars from the pension fund last night.","abscond with funds; abscond from custody","Legal"
"relapse","/rɪˈlæps/","v. / n.","relapsed, relapsing","舊病復發；故態復萌","He stayed sober for a year but unfortunately relapsed after losing his job.","suffer a relapse; relapse into old habits","Social"
"livid","/ˈlɪvɪd/","adj.","lividly","非常生氣的；（臉色）青紫的","My boss was absolutely livid when he found out we'd missed the deadline again.","be livid with rage; absolutely livid","Social"
"nihilism","/ˈnaɪɪlɪzəm/","n.","-","虛無主義","His early poetry was criticized for its sense of nihilism and lack of hope for the future.","embrace nihilism; philosophical nihilism","Academic"
"ossify","/ˈɒsɪfaɪ/","v.","ossified, ossifying","（習慣或思想）僵化；骨化","Bureaucratic systems often tend to ossify, making them slow to react to new challenges.","ossified thinking; ossify into dogma","Academic"
"encapsulate","/ɪnˈkæpsjuleɪt/","v.","encapsulated, encapsulating","扼要表述；壓縮；概括","The speaker's closing remarks perfectly encapsulated the main arguments of the symposium.","encapsulate an idea; encapsulate a theory","Academic"
"antipathy","/ænˈtɪpəθi/","n.","antipathies","厭惡；反感","There's a deep-seated antipathy between the two rival factions in the city council.","feel antipathy toward; mutual antipathy","Social"
"credence","/ˈkriːdns/","n.","-","信任；相信；憑證","The recent discovery of new fossils lends further credence to the theory of evolution.","give credence to; lend credence to","Academic"
"diatribe","/ˈdaɪətraɪb/","n.","diatribes","怒斥；抨擊","The senator launched into a long diatribe against the proposed tax reforms.","launch a diatribe; fierce diatribe","Workplace"
"hackneyed","/ˈhæknid/","adj.","-","陳腐的；老套的","The movie's plot was full of hackneyed tropes that we've all seen a hundred times before.","hackneyed expression; hackneyed plot","Social"
"iconoclast","/aɪˈkɒnəklæst/","n.","iconoclasts","反傳統信仰者；破除習俗者","As an iconoclast in the art world, she's always looking for ways to shock the establishment.","religious iconoclast; cultural iconoclast","Academic"
"laud","/lɔːd/","v.","lauded, lauding","讚美；稱讚","Critics were quick to laud the young pianist's debut performance as a masterpiece.","laud the efforts; highly lauded","Workplace"
"mollify","/ˈmɒlɪfaɪ/","v.","mollified, mollifying","使平靜；撫慰；緩和","The manager tried to mollify the angry customer by offering a full refund and a gift card.","mollify an opponent; mollify anger","Workplace"
"nonplussed","/ˌnɒnˈplʌst/","adj.","-","驚慌失措的；困惑的","He was completely nonplussed by the sudden change in plans and didn't know what to say.","be nonplussed by; look nonplussed","Social"
"onerous","/ˈəʊnərəs/","adj.","onerously","繁重的；艱鉅的","Managing the company's complex logistics proved to be an increasingly onerous task.","onerous responsibility; onerous duties","Workplace"
"ingest","/ɪnˈdʒest/","v.","ingested, ingesting","攝取；嚥下","Some species of birds unknowingly ingest pieces of plastic thinking it's food.","ingest food; ingest toxic substances","Academic"
"poseur","/pəʊˈzɜːr/","n.","poseurs","惺惺作態的人；裝腔作勢的人","Everyone can tell he's just a poseur trying to look cool in that expensive sports car.","pretentious poseur; social poseur","Social"
"gait","/ɡeɪt/","n.","gaits","步態；步履","I recognized him instantly by his distinctive, bouncy gait as he walked down the street.","steady gait; awkward gait","Social"
"sluggard","/ˈslʌɡəd/","n.","sluggards","懶鬼；愛偷懶的人","Get up, you sluggard! We've got a lot of work to do today and we're already late.","lazy sluggard; habitual sluggard","Social"
"torque","/tɔːrk/","n.","-","扭力；轉矩","The new electric motor generates massive torque, allowing the car to accelerate rapidly.","engine torque; high torque","Academic"
"complaisant","/kəmˈpleɪzənt/","adj.","complaisantly","彬彬有禮的；殷勤的；順從的","She's so complaisant that she often ends up doing other people's work just to avoid conflict.","complaisant nature; complaisant manner","Social"
"shard","/ʃɑːrd/","n.","shards","碎片（特別是陶瓷、玻璃或金屬）","Be careful not to step on those shards of glass from the broken window.","shards of pottery; jagged shard","Social"
"misogynist","/mɪˈsɒdʒənɪst/","n.","misogynists","厭惡女人的男人","His comments were widely condemned as the views of a narrow-minded misogynist.","blatant misogynist; avowed misogynist","Social"
"abysmal","/əˈbɪzməl/","adj.","abysmally","極壞的；糟透了的","The living conditions in the refugee camp were described as truly abysmal.","abysmal failure; abysmal weather","Social"
"recuperate","/rɪˈkuːpəreɪt/","v.","recuperated, recuperating","恢復；康復；挽回","After the grueling marathon, it took her several weeks to fully recuperate.","recuperate from surgery; recuperate losses","Social"
"immutable","/ɪˈmjuːtəbl/","adj.","immutably","永遠不變的；恆久的","The fundamental laws of physics are considered immutable truths of our universe.","immutable law; immutable fact","Academic"
"mite","/maɪt/","n.","mites","一點點；微量","I'm a mite worried that we won't reach the summit before the storm hits.","a mite suspicious; a tiny mite","Social"
"coagulation","/kəʊˌæɡjuˈleɪʃn/","n.","-","凝結；凝固","Vitamin K plays a crucial role in the process of blood coagulation after an injury.","blood coagulation; promote coagulation","Academic"
"centurion","/senˈtʃʊəriən/","n.","centurions","古羅馬百人隊長","The historical novel depicts the life of a centurion serving on the frontiers of the empire.","Roman centurion; centurion's command","Academic"
"buoyant","/ˈbɔɪənt/","adj.","buoyantly","有浮力的；心情愉快的","The discovery of a new market kept the investors in a buoyant mood all week.","buoyant mood; buoyant economy","Workplace"
"pilfer","/ˈpɪlfər/","v.","pilfered, pilfering","小偷小摸；偷竊","The warehouse manager noticed that someone had been pilfering small electronic parts.","pilfer from work; pilfer goods","Workplace"
"lampoon","/læmˈpuːn/","v. / n.","lampooned, lampooning","諷刺；嘲諷","The late-night talk show host is famous for how he lampoons current political leaders.","mercilessly lampoon; biting lampoon","Social"
"skit","/skɪt/","n.","skits","幽默短劇；小品","The students performed a hilarious skit mocking the school's strict dress code.","comedy skit; short skit","Social"
"euthanasia","/ˌjuːθəˈneɪziə/","n.","-","安樂死","The ethics of euthanasia remain a deeply controversial topic in medical and legal circles.","voluntary euthanasia; passive euthanasia","Academic"
"cognizant","/ˈkɒɡnɪzənt/","adj.","-","意識到的；察覺到的","We must be cognizant of the fact that our resources are limited and need careful management.","cognizant of risks; fully cognizant","Workplace"
"alcove","/ˈælkəʊv/","n.","alcoves","凹室；壁龕","I found a quiet alcove in the library where I could study without any distractions.","breakfast alcove; cozy alcove","Social"
"convoluted","/ˈkɒnvəluːtɪd/","adj.","-","複雜的；費解的；盤繞的","The legal document was written in such convoluted language that even the lawyers were confused.","convoluted plot; convoluted argument","Academic"
"irrevocable","/ɪˈrevəkəbl/","adj.","irrevocably","不可撤回的；不可改變的","Once the contract is signed, the agreement becomes irrevocable for both parties.","irrevocable decision; irrevocable step","Legal"
"warmonger","/ˈwɔːmʌŋɡər/","n.","warmongers","好戰者；戰爭販子","The editorial criticized the prime minister, calling him a warmonger for his aggressive foreign policy.","political warmonger; dangerous warmonger","Social"
"wince","/wɪns/","v.","winced, wincing","臉部肌肉抽動；（因疼痛等）畏縮","I couldn't help but wince when the nurse inserted the needle into my arm.","wince in pain; wince at the memory","Social"
"precursor","/ˌpriːˈkɜːrsər/","n.","precursors","先驅；前兆","Low-level inflation is often seen by economists as a precursor to a major recession.","precursor to war; natural precursor","Academic"
"exculpate","/ˈekskʌlpeɪt/","v.","exculpated, exculpating","開脫；證明…無罪","The defense lawyer hoped that the new DNA evidence would eventually exculpate his client.","exculpate from blame; exculpate a suspect","Legal"
"abrade","/əˈbreɪd/","v.","abraded, abrading","磨損；刮除","The rough surface of the rock can easily abrade the skin if you're not careful.","abrade the surface; abraded skin","Social"
"quandary","/ˈkwɒndəri/","n.","quandaries","困境；進退兩難","I'm in a quandary about whether to take the promotion or stay in my current role.","in a real quandary; moral quandary","Social"
"polemic","/pəˈlemɪk/","n.","polemics","激烈的辯論；辯論文章","The book is a fierce polemic against the negative effects of social media on teenagers.","fierce polemic; religious polemic","Academic"
"reciprocity","/ˌresɪˈprɒsəti/","n.","-","互惠；互助","International trade agreements are often based on the principle of reciprocity between nations.","level of reciprocity; mutual reciprocity","Academic"
"swerve","/swɜːrv/","v.","swerved, swerving","突然轉向","The driver had to swerve sharply to avoid hitting a deer that ran onto the road.","swerve off the road; swerve to avoid","Social"
"peccadillo","/ˌpekəˈdɪləʊ/","n.","peccadilloes","小錯誤；小瑕疵","In the grand scheme of things, a forgotten appointment is just a minor peccadillo.","minor peccadillo; forgive a peccadillo","Social"
"dawdle","/ˈdɔːdl/","v.","dawdled, dawdling","磨蹭；混時間","Stop dawdling and finish your homework, or you won't be allowed to watch TV later.","dawdle over breakfast; dawdle along","Social"
"noxious","/ˈnɒkʃəs/","adj.","-","有害的；有毒的","The factory was fined for releasing noxious fumes into the local atmosphere.","noxious gas; noxious influence","Academic"
"compunction","/kəmˈpʌŋkʃn/","n.","-","良心不安；內疚","He felt no compunction about lying to his boss to get a few extra days off.","feel no compunction; without compunction","Social"
"coerce","/kəʊˈɜːrs/","v.","coerced, coercing","強迫；脅迫","The suspects claimed they were coerced into making a confession by the police.","coerce into action; coerce a confession","Legal"
"stipulate","/ˈstɪpjuleɪt/","v.","stipulated, stipulating","規定；約定","The contract stipulates that all work must be completed by the end of the month.","stipulate conditions; clearly stipulate","Legal"
"idolatry","/aɪˈdɒlətri/","n.","-","偶像崇拜；盲目崇拜","The fans' devotion to the pop star verged on a kind of intense, modern-day idolatry.","fall into idolatry; blind idolatry","Social"
"floe","/fləʊ/","n.","floes","浮冰塊","The researchers watched as a group of seals rested on a large ice floe in the Arctic.","ice floe; drifting floe","Academic"
"viscous","/ˈvɪskəs/","adj.","-","黏稠的","As the temperature drops, the oil becomes more viscous and doesn't flow as easily.","viscous liquid; highly viscous","Academic"
"topple","/ˈtɒpl/","v.","toppled, toppling","推翻；倒塌","The protestors successfully toppled the statue of the former dictator in the town square.","topple a government; topple over","Social"
"deviance","/ˈdiːviəns/","n.","deviances","異常行為；偏離","Sociologists study deviance to understand how social norms are established and maintained.","social deviance; sexual deviance","Academic"
"variegate","/ˈveəriəɡeɪt/","v.","variegated, variegating","使多樣化；使呈雜色","The gardener chose different species to variegate the colors in the flower beds.","variegated leaves; variegate colors","Academic"
"malevolence","/məˈlevələns/","n.","-","惡意；狠毒","The villain in the story is characterized by his pure malevolence and lack of empathy.","act of malevolence; pure malevolence","Social"
"calisthenics","/ˌkælɪsˈθenɪks/","n.","-","健美操；體操","Our physical education classes always start with ten minutes of basic calisthenics.","daily calisthenics; perform calisthenics","Social"
"regicide","/ˈredʒɪsaɪd/","n.","regicides","弒君；大逆不道","The play explores the political and moral consequences of committing regicide.","commit regicide; act of regicide","Academic"
"recluse","/rɪˈkluːs/","n.","recluses","隱遁者；遁世者","After his retirement, the famous author lived as a recluse in a remote mountain cabin.","become a recluse; social recluse","Social"
"pungency","/ˈpʌndʒənsi/","n.","-","辛辣；尖銳","The pungency of the fresh ginger added a sharp, refreshing kick to the stir-fry.","pungency of smoke; chemical pungency","Academic"
"finesse","/fɪˈnes/","n. / v.","finessed, finessing","技巧；手腕","She handled the difficult negotiation with great finesse, keeping both sides happy.","political finesse; handle with finesse","Workplace"
"indomitable","/ɪnˈdɒmɪtəbl/","adj.","-","不屈不撓的","Despite facing numerous setbacks, her indomitable spirit kept her moving forward.","indomitable courage; indomitable will","Social"
"supersede","/ˌsuːpəˈsiːd/","v.","superseded, superseding","取代；替代","New digital technologies have largely superseded older, analog methods of recording.","supersede old laws; be superseded by","Academic"
"apropos","/ˌæprəˈpəʊ/","adj. / prep.","-","關於；中肯的；適時的","Her comments about the budget were very apropos, considering our current financial situation.","apropos of nothing; apropos to the discussion","Workplace"
"aversion","/əˈvɜːrʒn/","n.","aversions","厭惡；反感","He has a deep-seated aversion to public speaking and tries to avoid it at all costs.","strong aversion; feel aversion toward","Social"
"shun","/ʃʌn/","v.","shunned, shunning","避開；避免","After the scandal, many of his former friends began to shun him in public.","shun publicity; shun contact","Social"
"smolder","/ˈsməʊldər/","v.","smoldered, smoldering","悶燒；（感情）潛伏","The fire continued to smolder for hours after the main flames had been put out.","smoldering resentment; smoldering ruins","Social"
"trickle","/ˈtrɪkl/","v. / n.","trickled, trickling","滴流；細流","A small stream of water began to trickle down the rock face after the rain.","trickle down; steady trickle","Academic"
"enthrall","/ɪnˈθrɔːl/","v.","enthralled, enthralling","迷住；吸引","The magician's performance was so amazing that it enthralled the entire audience.","enthralled by beauty; enthralling story","Social"
"avow","/əˈvaʊ/","v.","avowed, avowing","公開聲明；承認","He decided to avow his true intentions before the meeting even started.","avow one's faith; openly avow","Workplace"
"castigate","/ˈkæstɪɡeɪt/","v.","castigated, castigating","申斥；嚴厲譴責","The editorial was written to castigate the government for its slow response to the crisis.","castigate someone for; severely castigate","Workplace"
"pillage","/ˈpɪlɪdʒ/","v. / n.","pillaged, pillaging","掠奪；搶劫","During the war, several ancient cities were unfortunately pillaged by invading forces.","pillage and loot; systematic pillage","Academic"
"jabber","/ˈdʒæbər/","v. / n.","jabbered, jabbering","吱吱喳喳地說；急促而含糊地說","She was so nervous that she started to jabber about anything that came to mind.","jabber incessantly; jabbering idiot","Social"
"chortle","/ˈtʃɔːrtl/","v. / n.","chortled, chortling","咯咯地笑；得意的笑","He couldn't help but chortle with delight when he saw the look on his friend's face.","chortle with glee; give a chortle","Social"
"implosion","/ɪmˈpləʊʒn/","n.","implosions","內爆；向內崩潰","The controlled implosion of the old building was watched by thousands of spectators.","economic implosion; massive implosion","Academic"
"calipers","/ˈkælɪpərz/","n.","-","卡鉗；遊標卡尺","The machinist used digital calipers to ensure that every part was accurate to the millimeter.","vernier calipers; use calipers","Workplace"
"resuscitation","/rɪˌsʌsɪˈteɪʃn/","n.","-","復甦；急救","The medical team performed cardiopulmonary resuscitation on the patient for twenty minutes.","emergency resuscitation; cardiac resuscitation","Academic"
"aseptic","/eɪˈseptɪk/","adj.","aseptically","無菌的","Surgery must be performed in a strictly aseptic environment to prevent infection.","aseptic technique; aseptic packaging","Academic"
"poncho","/ˈpɒntʃəʊ/","n.","ponchos","披風式雨衣；斗篷","It started to rain, so I pulled out my plastic poncho to keep my backpack dry.","waterproof poncho; colorful poncho","Social"
"grandiloquent","/ɡrænˈdɪləkwənt/","adj.","grandiloquently","言辭誇張的；賣弄詞藻的","His grandiloquent speech was full of big words but didn't actually say very much.","grandiloquent style; grandiloquent language","Academic"
"boorish","/ˈbʊərɪʃ/","adj.","boorishly","粗野的；無禮的","He apologized for his friend's boorish behavior at the party the night before.","boorish manners; boorish comments","Social"
"ebullient","/ɪˈbʌliənt/","adj.","ebulliently","興高采烈的；熱情洋溢的","She was in an ebullient mood after finding out that she'd been accepted to Harvard.","ebullient personality; ebullient welcome","Social"
"ostracism","/ˈɒstrəsɪzəm/","n.","-","排斥；放逐","In many ancient societies, ostracism was used as a political tool to remove dangerous individuals.","social ostracism; face ostracism","Academic"
"arabesque","/ˌærəˈbesk/","n.","arabesques","阿拉伯式圖案；蔓藤圖案","The walls of the mosque were decorated with intricate arabesques and geometric patterns.","intricate arabesque; arabesque design","Academic"
"cantankerous","/kænˈtæŋkərəs/","adj.","cantankerously","愛吵架的；脾氣壞的","He's become quite cantankerous in his old age, complaining about everything from the weather to the food.","cantankerous old man; cantankerous mood","Social"
"hoodwink","/ˈhʊdwɪŋk/","v.","hoodwinked, hoodwinking","欺騙；哄騙","Don't let them hoodwink you into signing a contract you haven't fully read yet.","hoodwink someone into; be hoodwinked by","Social"
"conundrum","/kəˈnʌndrəm/","n.","conundrums","難題；謎題","The mystery of how the pyramids were built remains a fascinating conundrum for archaeologists.","solve a conundrum; intellectual conundrum","Academic"
"apotheosis","/əˌpɒθiˈəʊsɪs/","n.","apotheoses","神化；典型；巔峰","Many critics consider this novel to be the apotheosis of the author's literary career.","apotheosis of art; reach an apotheosis","Academic"
