"Word","IPA","POS","Inflections","Definition","Example","Collocations","Context_Type"
"bombast","/ˈbɒmbæst/","n.","-","浮誇的言語；大話","His speech was full of empty bombast but lacked any real substance or concrete plans.","political bombast; empty bombast","Social"
"garrison","/ˈɡærɪsn/","n. / v.","garrisons, garrisoned, garrisoning","駐軍；要塞","The remote outpost was garrisoned by a small group of soldiers who were cut off from help.","garrison town; permanent garrison","Academic"
"skirmish","/ˈskɜːrmɪʃ/","n. / v.","skirmishes, skirmished, skirmishing","小衝突；小規模戰鬥","There was a brief skirmish between the two groups of protestors outside the city hall.","border skirmish; minor skirmish","Social"
"subvert","/səbˈvɜːrt/","v.","subverted, subverting","顛覆；破壞（體制或權威）","The rebels were accused of trying to subvert the government and establish a dictatorship.","subvert authority; subvert the system","Academic"
"internment","/ɪnˈtɜːrnmənt/","n.","-","拘留；收容","The history books detail the internment of thousands of citizens during the world war.","internment camp; mass internment","Academic"
"clout","/klaʊt/","n. / v.","clouts, clouted, clouting","影響力；權力；猛擊","He has a lot of political clout in the city, so he can usually get things done quickly.","political clout; global clout","Workplace"
"bludgeon","/ˈblʌdʒən/","v. / n.","bludgeoned, bludgeoning","猛擊；強迫","The management tried to bludgeon the workers into accepting the new, lower pay scale.","bludgeon someone into; blunt bludgeon","Social"
"ascertain","/ˌæsəˈteɪn/","v.","ascertained, ascertaining","查明；確定","The police are still trying to ascertain the exact cause of the accident last night.","ascertain the facts; ascertain the truth","Academic"
"vandal","/ˈvændl/","n.","vandals","故意破壞公物者","Vandals broke into the school over the weekend and spray-painted graffiti all over the walls.","mindless vandal; act of a vandal","Social"
"shutter","/ˈʃʌtər/","v. / n.","shuttered, shuttering","關上；停止營業","Many small businesses were forced to shutter their doors permanently during the pandemic.","shutter a factory; roll-up shutter","Workplace"
"topple","/ˈtɒpl/","v.","toppled, toppling","推翻；倒塌","The military coup successfully managed to topple the government in just a few days.","topple a leader; topple over","Academic"
"teeter","/ˈtiːtər/","v.","teetered, teetering","搖搖欲墜；蹣跚","The country's economy's currently teetering on the edge of a complete collapse.","teeter on the brink; teeter along","Academic"
"rejoinder","/rɪˈdʒɔɪndər/","n.","rejoinders","回答；反駁","She always has a witty rejoinder ready, no matter what kind of question you ask her.","quick rejoinder; sharp rejoinder","Social"
"insurrection","/ˌɪnsəˈrekʃn/","n.","insurrections","起義；造反","The government moved quickly to suppress the armed insurrection before it could spread.","lead an insurrection; violent insurrection","Academic"
"fray","/freɪ/","v. / n.","frayed, fraying","磨損；（情緒）變得緊張","Tempers began to fray as the negotiations dragged on into the early hours of the morning.","fray at the edges; nerves fray","Social"
"fizzle","/ˈfɪzl/","v. / n.","fizzled, fizzling","逐漸結束；告吹","The protest started with hundreds of people, but it slowly began to fizzle out as it rained.","fizzle out; a complete fizzle","Social"
"gobbledygook","/ˈɡɒbldigʊk/","n.","-","官樣文章；冗長且費解的文字","The new tax forms are just full of legal gobbledygook that nobody can understand.","legal gobbledygook; bureaucratic gobbledygook","Social"
"hash","/hæʃ/","v. / n.","hashed, hashing","把…搞亂；切碎","The committee managed to make a complete hash of the new project schedule.","make a hash of; hash out the details","Workplace"
"outbid","/ˌaʊtˈbɪd/","v.","outbid, outbidding","出價高於","A private collector managed to outbid the national museum for the rare painting.","outbid a rival; be outbid","Workplace"
"grimace","/ˈɡrɪməs/","n. / v.","grimaced, grimacing","怪相；臉部扭曲","He gave a slight grimace of pain as the nurse cleaned the wound on his leg.","grimace in pain; painful grimace","Social"
"metaverse","/ˈmetəvɜːrs/","n.","metaverses","元宇宙","Tech companies are investing billions to build their own versions of the metaverse.","explore the metaverse; metaverse platform","Academic"
"divisive","/dɪˈvaɪsɪv/","adj.","divisively","引起分歧的","The proposed new law has become a deeply divisive issue within the local community.","divisive issue; divisive personality","Academic"
"bipartisan","/ˌbaɪˈpɑːrtɪzn/","adj.","-","兩黨支持的","The bill received strong bipartisan support and passed quickly through the Senate.","bipartisan agreement; bipartisan committee","Academic"
"totter","/ˈtɒtər/","v.","tottered, tottering","踉蹌；搖搖欲墜","The economy's currently tottering on the brink of a major financial crisis.","totter along; tottering regime","Academic"
"diaspora","/daɪˈæspərə/","n.","diasporas","大移居；流散的人群","The city's home to a large Irish diaspora that celebrates its heritage every year.","global diaspora; diaspora community","Academic"
"glitzy","/ˈɡlɪtsi/","adj.","glitzier, glitziest","浮華的；耀眼的","The award ceremony was a glitzy affair attended by hundreds of famous celebrities.","glitzy event; glitzy lifestyle","Social"
"patrilocal","/ˌpætriˈləʊkl/","adj.","-","（婚後）居於夫家的","In some traditional patrilocal societies, a bride moves in with her husband's family.","patrilocal marriage; patrilocal culture","Academic"
"dichotomy","/daɪˈkɒtəmi/","n.","dichotomies","一分為二；對立","There's often a sharp dichotomy between what politicians say and what they actually do.","false dichotomy; sharp dichotomy","Academic"
"ropy","/ˈrəʊpi/","adj.","ropier, ropiest","狀況差的；糟透的","I'm feeling a bit ropy today, so I think I'll just stay in bed and rest.","look ropy; feel ropy","Social"
"bequeath","/bɪˈkwiːð/","v.","bequeathed, bequeathing","遺贈；傳下","In his will, he decided to bequeath his entire collection of rare books to the library.","bequeath property; bequeath to posterity","Legal"
"purveyor","/pərˈveɪər/","n.","purveyors","供應商；傳播者","The company's a major purveyor of organic produce to high-end restaurants in the city.","purveyor of goods; purveyor of lies","Workplace"
"subjugate","/ˈsʌbdʒʊɡeɪt/","v.","subjugated, subjugating","征服；使服從","The ancient empire worked to subjugate all the neighboring tribes through military force.","subjugate a people; be subjugated","Academic"
"skewed","/skjuːd/","adj.","-","歪斜的；有偏差的","The survey results were skewed because only people with strong opinions responded.","skewed perspective; skewed data","Academic"
"brooding","/ˈbruːdɪŋ/","adj.","-","憂心忡忡的；沉思的","There was a brooding silence in the room as everyone waited for the test results.","brooding atmosphere; brooding look","Social"
"tit-for-tat","/ˌtɪt fər ˈtæt/","n. / adj.","-","針鋒相對；一報還一報","The two countries're engaged in a tit-for-tat trade war, raising tariffs on each other.","tit-for-tat retaliation; tit-for-tat strategy","Academic"
"divvy up","/ˌdɪvi ˈʌp/","v.","divvied up, divvying up","分派；分攤","The team decided to divvy up the workload so that everyone had a fair share.","divvy up the profits; divvy up the tasks","Workplace"
"scruple","/ˈskruːpl/","n. / v.","scruples, scrupled, scrupling","顧忌；顧慮","He has no scruples about lying to his friends if it helps him get what he wants.","moral scruples; without scruple","Social"
"prism","/ˈprɪzəm/","n.","prisms","稜鏡；視角","We must view these historical events through the prism of modern social values.","through the prism of; glass prism","Academic"
"harp on about","/hɑːrp ɒn əˈbaʊt/","ph.","harped on about, harping on about","嘮叨；反覆談論","I wish he'd stop harping on about his old car; nobody really cares anymore.","stop harping on; harp on about the past","Social"
"proliferate","/prəˈlɪfəreɪt/","v.","proliferated, proliferating","激增；擴散","Fast-food restaurants've begun to proliferate in the city center over the last decade.","proliferate rapidly; cells proliferate","Academic"
"rust belt","/ˈrʌst belt/","n.","-","鏽帶（工業衰退地區）","Many cities in the rust belt're struggling to attract new industries and jobs.","rust belt states; declining rust belt","Academic"
"hubris","/ˈhjuːbrɪs/","n.","-","傲慢；自大","The CEO's hubris eventually led to the company's downfall when he ignored all warnings.","tragic hubris; display hubris","Academic"
"unipolar","/ˌjuːnɪˈpəʊlər/","adj.","-","單極的","After the end of the Cold War, the world was often seen as a unipolar system.","unipolar world; unipolar power","Academic"
"augur","/ˈɔːɡər/","v.","augured, auguring","預示；是…的預兆","The recent drop in unemployment figures augurs well for the country's economic future.","augur well; augur ill","Academic"
"mire","/ˈmaɪər/","n. / v.","mired, miring","泥沼；困境；使陷入","The project's been mired in bureaucratic delays for months and shows no sign of moving.","mired in controversy; stuck in the mire","Workplace"
"despot","/ˈdespɒt/","n.","despots","專制者；暴君","The country was ruled by a ruthless despot who suppressed all forms of opposition.","enlightened despot; cruel despot","Academic"
"fumble","/ˈfʌmbl/","v. / n.","fumbled, fumbling","笨手笨腳地做；摸索","I had to fumble around in my bag for several minutes before I finally found my keys.","fumble for words; fumble with a lock","Social"
"panopticon","/pænˈɒptɪkən/","n.","panopticons","全景監獄；圓形監獄","Foucault used the panopticon as a metaphor for the way modern societies monitor and control citizens.","model panopticon; circular panopticon","Academic"
"pedant","/ˈpednt/","n.","pedants","迂腐的學者；書呆子","He's such a pedant that he'll stop a conversation just to correct someone's grammar.","academic pedant; tireless pedant","Social"
"omniscient","/ɒmˈnɪsiənt/","adj.","omniscience","全知的；無所不在的","In some religions, God is viewed as an omniscient being who knows all things past and future.","omniscient narrator; seemingly omniscient","Academic"
"chemogenetic","/ˌkiːməʊdʒəˈnetɪk/","adj.","-","化學遺傳學的","The researchers used chemogenetic tools to selectively activate specific neurons in the brain.","chemogenetic approach; chemogenetic activation","Academic"
"unfathomable","/ʌnˈfæðəməbl/","adj.","unfathomably","深不可測的；難以理解的","The reasons for his sudden disappearance remain entirely unfathomable to his family and friends.","unfathomable mystery; unfathomable depth","Academic"
"tandem","/ˈtændəm/","n. / adv.","tandems","一前一後；串聯；協力","The two organizations're working in tandem to provide aid to the victims of the disaster.","in tandem with; work in tandem","Workplace"
"skitter around","/ˈskɪtər əˈraʊnd/","ph.","skittered around, skittering around","快速移動；敏捷跑動","The tiny crab started to skitter around on the sand as soon as we let it go.","skitter around the floor; skitter about","Social"
"endocrinology","/ˌendəʊkrɪˈnɒlədʒi/","n.","-","內分泌學","She decided to specialize in endocrinology to study how hormones affect human behavior.","study endocrinology; clinical endocrinology","Academic"
"prosaic","/prəʊˈzeɪɪk/","adj.","prosaically","平淡無奇的；缺乏想像力的","I wanted a romantic proposal, but he kept it pretty prosaic, just asking over dinner.","prosaic life; prosaic style","Social"
"imperious","/ɪmˈpɪəriəs/","adj.","imperiously","專橫的；傲慢的","The CEO's imperious manner made it difficult for anyone to disagree with his decisions.","imperious tone; imperious command","Workplace"
"founder","/ˈfaʊndər/","v. / n.","founded, founding","沉沒；失敗；創立者","The project began to founder when it ran out of funding halfway through the year.","founder on rocks; project founders","Academic"
"flail","/fleɪl/","v.","flailed, flailing","亂動；揮動（手臂）","The swimmer began to flail around in the water when he realized he was out too deep.","flail one's arms; flail about","Social"
"curtail","/kɜːrˈteɪl/","v.","curtailed, curtailing","縮減；削減","The school's been forced to curtail its extracurricular programs due to budget cuts.","curtail spending; curtail activities","Workplace"
"disentangle","/ˌdɪsɪnˈtæŋɡl/","v.","disentangled, disentangling","解開；使脫離","It took hours for the researchers to disentangle the complex web of data they'd collected.","disentangle the truth; disentangle from","Academic"
"median","/ˈmiːdiən/","n. / adj.","medians","中位數；中間的","The report shows that the median household income has stayed flat over the last decade.","median age; calculate the median","Academic"
"debauch","/dɪˈbɔːtʃ/","v. / n.","debauched, debauching","使墮落；敗壞","Critics argued that the film's intended to debauch the morals of the younger generation.","debauched lifestyle; act of debauchery","Social"
"foal","/fəʊl/","n. / v.","foals, foaled, foaling","小馬；產下小馬","The mare's expected to foal sometime next month, so we're keeping a close eye on her.","newborn foal; mare in foal","Social"
"wishy-washy","/ˈwɪʃiwɒʃi/","adj.","-","平淡無奇的；不堅定的","He gave a wishy-washy answer when asked if he supported the new policy or not.","wishy-washy character; wishy-washy colors","Social"
"telenovela","/ˌtelənəˈvelə/","n.","telenovelas","電視小說劇；肥皂劇","She spends every evening watching her favorite Spanish telenovela after she gets home.","popular telenovela; watch telenovelas","Social"
"flummox","/ˈflʌməks/","v.","flummoxed, flummoxing","使困惑；使不知所措","The reporter's difficult questions seemed to completely flummox the politician.","be flummoxed by; flummoxing problem","Social"
"cryptocurrency","/ˈkrɪptəʊkʌrənsi/","n.","cryptocurrencies","加密貨幣","Many investors're now diversifying their portfolios by including various cryptocurrencies.","invest in cryptocurrency; cryptocurrency market","Academic"
"decarbonization","/ˌdiːkɑːrbənaɪˈzeɪʃn/","n.","-","去碳化","The international agreement focuses on the rapid decarbonization of the global energy sector.","path to decarbonization; promote decarbonization","Academic"
"apocryphal","/əˈpɒkrɪfl/","adj.","-","可疑的；不足為信的","The story about him saving a kitten from a tree is likely apocryphal, but people still tell it.","apocryphal tale; apocryphal story","Social"
"arboreal","/ɑːrˈbɔːriəl/","adj.","-","樹棲的；樹木的","Researchers're studying the arboreal habits of specific species of monkeys in the Amazon.","arboreal species; arboreal lifestyle","Academic"
"carouse","/kəˈraʊz/","v.","caroused, carousing","暢飲作樂","The group of friends spent the entire night carousing in the bars near the harbor.","night of carousing; go carousing","Social"
"contusion","/kənˈtjuːʒn/","n.","contusions","瘀傷；挫傷","The athlete suffered a deep contusion on his leg after a collision during the game.","minor contusion; severe contusion","Academic"
"contravene","/ˌkɒntrəˈviːn/","v.","contravened, contravening","違反；抵觸（法律等）","The company's actions were found to contravene several international environmental laws.","contravene a regulation; contravene the law","Legal"
"defunct","/dɪˈfʌŋkt/","adj.","-","失靈的；已廢止的；不存在的","The factory's been defunct for over twenty years and's now being turned into apartments.","defunct company; defunct laws","Workplace"
"epistolary","/ɪˈpɪstələri/","adj.","-","書信體的","The novel's written in an epistolary style, consisting of letters between two friends.","epistolary novel; epistolary tradition","Academic"
"interlocutor","/ˌɪntəˈlɒkjətər/","n.","interlocutors","對話者；代言人","The diplomat acted as the main interlocutor between the two warring factions.","key interlocutor; official interlocutor","Academic"
"inure","/ɪˈnjʊər/","v.","inured, inuring","使習慣於（不快的事物）","Growing up in a busy city can inure you to the constant noise of traffic and sirens.","inure someone to; become inured","Social"
"inveterate","/ɪnˈvetərət/","adj.","inveterately","積習難改的；根深蒂固的","He's an inveterate liar who can't seem to tell the truth even about the smallest things.","inveterate smoker; inveterate gambler","Social"
"mawkish","/ˈmɔːkɪʃ/","adj.","mawkishly","無病呻吟的；感傷到令人討厭的","I found the movie's ending to be a bit too mawkish and sentimental for my taste.","mawkish sentimentality; mawkish tone","Social"
"multifarious","/ˌmʌltɪˈfeəriəs/","adj.","-","各式各樣的；多方面的","The project requires someone who can handle multifarious tasks and coordinate with different teams.","multifarious activities; multifarious duties","Workplace"
"pert","/pɜːrt/","adj.","perter, pertest","小巧玲瓏的；俏皮的；失禮的","She gave him a pert answer that made everyone in the room laugh, but him.","pert nose; pert remark","Social"
"prurient","/ˈpʊəriənt/","adj.","pruriently","好色的；淫穢的","The magazine was criticized for its prurient focus on the scandals of famous celebrities.","prurient interest; prurient curiosity","Social"
"pulchritude","/ˈpʌlkrɪtjuːd/","n.","-","美麗；標緻","The poet wrote numerous sonnets celebrating the pulchritude of his beloved's face.","classic pulchritude; physical pulchritude","Academic"
"puerile","/ˈpjuːəraɪl/","adj.","puerilely","幼稚的；傻氣的","I'm tired of his puerile jokes that aren't even funny to anyone over the age of ten.","puerile behavior; puerile humor","Social"
"pettifogging","/ˈpetifɒɡɪŋ/","adj.","-","吹毛求疵的；斤斤計較的","The project was delayed by pettifogging bureaucrats who insisted on following every minor rule.","pettifogging details; pettifogging lawyers","Workplace"
"sobriety","/səˈbraɪəti/","n.","-","清醒；莊重；嚴肅","The driver had to take a field sobriety test after being pulled over by the police.","strict sobriety; period of sobriety","Social"
"solipsism","/ˈsɒlɪpsɪzəm/","n.","-","唯我論","In philosophy, solipsism is the theory that only the self can be proved to exist.","philosophical solipsism; danger of solipsism","Academic"
"staid","/steɪd/","adj.","staidly","古板的；嚴肅的；無趣的","The company's trying to change its staid image to attract a younger and more diverse workforce.","staid appearance; staid surroundings","Workplace"
"tome","/təʊm/","n.","tomes","巨著；大部頭的書","The professor spent decades writing a three-volume tome on the history of ancient Rome.","weighty tome; massive tome","Academic"
"vituperate","/vɪˈtjuːpəreɪt/","v.","vituperated, vituperating","謾罵；辱罵","The editorial began to vituperate the government for its complete failure to address the crisis.","vituperate against; severely vituperate","Social"
"belie","/bɪˈlaɪ/","v.","belied, belying","掩飾；與…不符","His calm, relaxed manner belies the fact that he's actually under a lot of stress.","belie expectations; belie one's age","Social"
"adulation","/ˌædʒuˈleɪʃn/","n.","-","吹捧；諂媚","The young actor seemed uncomfortable with the constant adulation of his obsessed fans.","lavish adulation; receive adulation","Social"
"feckless","/ˈfekləs/","adj.","fecklessly","無能的；無效的；不負責任的","The main character in the story is a feckless drunk who can't seem to hold down a job.","feckless leader; feckless attempt","Social"
"respite","/ˈrespɪt/","n. / v.","respited, respiting","暫時的中止；（死刑的）緩期執行","The rain provided a brief respite from the scorching heat that had lasted all week.","brief respite; without respite","Social"
"jejune","/dʒɪˈdʒuːn/","adj.","jejunely","幼稚的；枯燥無味的","I found his arguments to be quite jejune and lacking in any real depth or complexity.","jejune style; jejune observation","Academic"
"sedulous","/ˈsedjələs/","adj.","sedulously","勤奮的；刻苦的","The researchers were sedulous in their efforts to double-check every single piece of data.","sedulous attention; sedulous worker","Academic"
"titular","/ˈtɪtjulər/","adj.","titularly","名義上的；有名無實的","The queen's the titular head of state, but the real power lies with the prime minister.","titular ruler; titular role","Academic"
"attrition","/əˈtrɪʃn/","n.","-","耗損；削減；磨損","The company's struggling to deal with high rates of staff attrition in its call centers.","rate of attrition; war of attrition","Workplace"
"encomium","/enˈkəʊmiəm/","n.","encomiums","讚辭；頌辭","The retired professor received a glowing encomium from his former students and colleagues.","deliver an encomium; write an encomium","Academic"
"temperance","/ˈtempərəns/","n.","-","節制；（特別是）戒酒","The movement promoted temperance and argued that alcohol was the root of all social problems.","temperance movement; act of temperance","Academic"
"quotidian","/kwəʊˈtɪdiən/","adj.","-","日常的；平常的","The movie captures the quotidian details of life in a small town during the 1950s.","quotidian existence; quotidian tasks","Social"
"perfidy","/ˈpɜːrfədi/","n.","perfidies","背信棄義；不忠","The story details the hero's struggle against the perfidy of his closest childhood friend.","act of perfidy; blatant perfidy","Social"
"outstrip","/ˌaʊtˈstrɪp/","v.","outstripped, outstripping","超過；勝過","Demand for the new smartphone is expected to outstrip supply within the first few days.","outstrip competitors; outstrip growth","Workplace"
"mendacity","/menˈdæsəti/","n.","mendacities","謊言；虛假；說謊成性","The politician was criticized for his blatant mendacity and constant shifting of facts.","habitual mendacity; track record of mendacity","Social"
"intransigent","/ɪnˈtrænzɪdʒənt/","adj.","intransigence","固執的；不妥協的","The negotiations failed because both sides remained intransigent and refused to move.","intransigent attitude; remain intransigent","Workplace"
"insular","/ˈɪnsjələr/","adj.","insularity","狹隘的；與世隔絕的；島國的","Growing up in such an insular community made it difficult for him to adapt to city life.","insular world; insular thinking","Social"
"rookery","/ˈrʊkəri/","n.","rookeries","棲息地；築巢地","The researchers spent the summer observing the large penguin rookery on the remote island.","penguin rookery; breeding rookery","Academic"
"caribou","/ˈkærɪbuː/","n.","caribou","北美馴鹿","Indigenous groups in the Arctic have relied on the annual migration of caribou for centuries.","herd of caribou; caribou hunting","Academic"
"bankroll","/ˈbæŋkrəʊl/","v. / n.","bankrolled, bankrolling","資助；提供資金","The project was bankrolled by a group of private investors who saw its potential.","bankroll a campaign; secure a bankroll","Workplace"
"taper","/ˈteɪpər/","v. / n.","tapered, tapering","使一端逐漸變窄；逐漸減少","The rain began to taper off in the late afternoon, allowing us to go outside.","taper off; tapered end","Social"
"grapple","/ˈɡræpl/","v.","grappled, grappling","搏鬥；格鬥；努力解決（問題）","The government's struggling to grapple with the rising costs of healthcare and education.","grapple with a problem; grapple for control","Workplace"
"draconian","/drəˈkəʊniən/","adj.","-","嚴厲的；酷苛的","The organization criticized the new regulations as being draconian and unnecessary.","draconian measures; draconian laws","Legal"
"thuggish","/ˈθʌɡɪʃ/","adj.","thuggishly","兇狠的；暴徒般的","He was condemned for his thuggish behavior and use of violence against protestors.","thuggish tactics; thuggish appearance","Social"
"vexing","/ˈveksɪŋ/","adj.","vexingly","令人煩惱的；使人惱火的","The persistent noise from the neighboring construction site's become quite vexing.","vexing problem; vexing issue","Social"
"boon","/buːn/","n.","-","恩惠；福音；大利益","The new highway's been a real boon to local businesses, bringing in thousands of tourists.","be a boon to; great boon","Social"
"take umbrage","/teɪk ˈʌmbrɪdʒ/","ph.","took umbrage, taken umbrage","生氣；惱怒","He took umbrage at the suggestion that his work wasn't up to the required standard.","take umbrage at; quick to take umbrage","Social"
"tussle with","/ˈtʌsl wɪð/","ph.","tussled with, tussling with","爭辯；扭打；努力處理","The committee's been tussling with the budget for weeks but hasn't reached a decision yet.","tussle with a decision; brief tussle","Workplace"
"invariant","/ɪnˈveəriənt/","adj. / n.","invariants","不變的；恆定的；不變量","In many physical systems, the total amount of energy remains invariant over time.","invariant property; mathematical invariant","Academic"
"perquisite","/ˈpɜːrkwɪzɪt/","n.","perquisites","額外補貼；津貼（特別是職務上的）","One of the perquisites of the job's a company car and a private health insurance plan.","job perquisites; usual perquisites","Workplace"
"whirly","/ˈwɜːrli/","adj.","-","旋轉的；旋風的","The children watched the whirly seeds falling from the trees like tiny helicopters.","whirly motion; whirly wind","Social"
"supplant","/səˈplænt/","v.","supplanted, supplanting","取代；替代","Printed books've not been entirely supplanted by e-books, as many people predicted.","supplant a rival; be supplanted by","Academic"
"paroxysm","/ˈpærəksɪzəm/","n.","paroxysms","（感情的）爆發；（病）週期性發作","He was suddenly overcome by a paroxysm of coughing that lasted for several minutes.","paroxysm of rage; paroxysm of laughter","Academic"
"upend","/ʌpˈend/","v.","upended, upending","倒放；顛倒；徹底改變","The discovery of the new fossils has the potential to upend current theories of evolution.","upend the market; be upended","Academic"
"braconid","/ˈbrækənɪd/","n. / adj.","braconids","小繭蜂；繭蜂科的","Braconid wasps're often used in biological control to manage pest populations in farming.","braconid wasp; parasitic braconid","Academic"
"quixotic","/kwɪkˈsɒtɪk/","adj.","quixotically","不切實際的；異想天開的","His quixotic plan to sail around the world in a tiny boat was met with skepticism.","quixotic quest; quixotic ideal","Social"
